,Кодировка,Балл ЕГЭ,Код ученика
0,mat_ege_max_on_w2_071018_32kum,56.0,s0
1,mat_ege_max_w1_080918_61blm,55.0,s1
2,rus_ege_max_w2_021018_107kum,78.0,s1
3,eng_ege_int_ctp_mini_on_150219_2web,91.0,s2
4,soc_ege_max_w2_071018_2irk,81.0,s3
5,eng_ege_max_w2_031018_1irk,88.0,s3
6,his_ege_sint_ctp_SLAB_on_150319_3web,44.0,s4
7,soc_ege_sint_lvl2_SRED_200319_5oktmsk,76.0,s4
8,soc_opt_w2_021218_8aim,42.0,s5
9,mat_ege_max_w1_050918_37vpspb,50.0,s6
10,rus_ege_max_w1_060918_3knn,80.0,s7
11,mat_ege_max_w1_040918_12knn,68.0,s7
12,rus_ege_max_w2_031018_78mgnsk,80.0,s8
13,lit_opt_on_w2_261118_kumsk,94.0,s9
14,his_ege_max_on_w2_011018_17kum,68.0,s9
15,inf_ege_max_w1_040918_73chekb,81.0,s10
16,phi_ege_max_w1_050918_41chekb,74.0,s10
17,soc_ege_max_w1_040918_77kum,82.0,s11
18,mat_ege_max_w1_080918_59kum,82.0,s11
19,his_ege_max_w1_050918_45mgnsk,67.0,s12
20,soc_ege_max_w1_070918_22mgnsk,72.0,s12
21,mat_ege_max_w1_060918_10mgnsk,68.0,s12
22,mat_ege_max_w1_060918_32vpspb,76.0,s13
23,soc_ege_max_w2_061018_78kum,70.0,s14
24,mat_ege_opt_w2_301118_1irk,76.0,s15
25,phi_int_on_w2_060219_1kumsk,61.0,s15
26,rus_ege_max_w2_240918_1irk,78.0,s16
27,soc_ege_max_w2_071018_1irk,61.0,s16
28,rus_ege_max_w1_080918_23chekb,71.0,s17
29,his_ege_max_w2_071018_52chekb,69.0,s17
30,bio_ege_max_w1_040918_9vpspb,50.0,s18
31,mat_ege_max_w1_060918_32vpspb,70.0,s18
32,che_ege_max_w1_050918_108vpspb,38.0,s18
33,bio_ege_max_on_w1_050918_19kum,89.0,s19
34,rus_opt_w2_261118_3mgnsk,65.0,s20
35,mat_ege_max_w2_031018_14mgnsk,50.0,s21
36,mat_ege_max_w2_011018_5krsn,74.0,s22
37,his_ege_max_w1_090918_30kum,70.0,s23
38,lit_ege_max_w1_070918_37kum,68.0,s24
39,rus_ege_max_w1_080918_123okm,67.0,s24
40,phi_ege_max_on_w1_060918_9vpspb,49.0,s25
41,che_ege_max_w2_011018_68chekb,66.0,s26
42,his_ege_int_ctp_mini_on_130219_2web,71.0,s27
43,che_ege_opt_w2_011218_2vpspb,72.0,s28
44,rus_ege_sint_lvl2_SRED_200319_5shpspb,91.0,s28
45,mat_ege_max_w2_061018_62kum,56.0,s29
46,soc_ege_max_w2_011018_93kum,70.0,s29
47,rus_ege_max_w2_021018_107kum,72.0,s29
48,mat_ege_max_w2_031018_14mgnsk,70.0,s30
49,soc_ege_int_w1_200119_6airmsk,82.0,s31
50,mat_ege_max_w2_041018_43vpspb,80.0,s32
51,his_opt_w2_281118_2mgnsk,64.0,s33
52,inf_ege_max_w1_040918_73chekb,73.0,s34
53,mat_ege_max_w1_030918_1chekb,70.0,s34
54,soc_ege_max_w1_030918_29chekb,74.0,s34
55,soc_ege_max_w1_080918_33chekb,84.0,s35
56,rus_ege_max_w2_011018_88vpspb,87.0,s36
57,soc_ege_max_w2_061018_78kum,70.0,s37
58,his_ege_max_w2_071018_34kum,51.0,s37
59,rus_ege_max_w1_090918_126blm,80.0,s38
60,soc_opt_w2_261118_7aim,70.0,s38
61,mat_ege_max_w2_061018_45vpspb,78.0,s39
62,mat_ege_opt_w2_301118_1irk,76.0,s40
63,phi_ege_opt_w2_021218_1irk,61.0,s40
64,rus_ege_opt_w2_011218_2irk,76.0,s40
65,rus_ege_max_w2_051018_6knn,72.0,s41
66,mat_ege_max_w2_071018_16knn,68.0,s41
67,bio_ege_max_w2_071018_48knn,56.0,s41
68,mat_ege_max_w1_080918_60okm,88.0,s42
69,phi_ege_max_w1_080918_137okm,96.0,s42
70,mat_ege_max_w1_030918_7mgnsk,72.0,s43
71,rus_ege_max_w1_060918_2mgnsk,82.0,s43
72,his_ege_max_w2_011018_47mgnsk,44.0,s44
73,rus_ege_max_w2_031018_78mgnsk,73.0,s44
74,rus_opt_on_w2_261118_mgnsk,72.0,s45
75,mat_ege_max_w1_090918_11mgnsk,68.0,s46
76,rus_ege_max_w1_090918_3mgnsk,89.0,s46
77,bio_ege_max_on_w1_050918_19kum,86.0,s47
78,che_ege_max_on_w1_030918_18kum,80.0,s47
79,rus_ege_max_w1_030918_1knn,76.0,s48
80,phi_ege_max_w1_030918_19knn,60.0,s48
81,mat_ege_max_w1_040918_12knn,68.0,s48
82,bio_ege_max_on_w2_011018_50vpspb,89.0,s49
83,che_ege_max_on_w2_021018_48vpspb,100.0,s49
84,soc_ege_max_w1_090918_84blm,62.0,s50
85,his_ege_max_on_w1_050918_16kum,44.0,s51
86,soc_ege_max_on_w1_040918_10kum,35.0,s51
87,rus_ege_max_w1_080918_23chekb,76.0,s52
88,lit_ege_max_w2_041018_61chekb,77.0,s52
89,rus_ege_max_w1_050918_24chekb,80.0,s53
90,soc_ege_max_w1_070918_32chekb,63.0,s53
91,mat_ege_max_w1_080918_6chekb,56.0,s54
92,inf_ege_max_w2_051018_27kum,94.0,s55
93,mat_ege_max_w1_080918_60okm,90.0,s55
94,mat_ege_max_w2_011018_52kum,70.0,s56
95,che_ege_max_w2_011018_68chekb,41.0,s57
96,rus_opt_w1_271118_4chekb,69.0,s57
97,che_ege_max_w1_030918_106vpspb,68.0,s58
98,rus_ege_max_w2_061018_91vpspb,87.0,s58
